@RELATION sentiment
@ATTRIBUTE F1 REAL
@ATTRIBUTE F2 REAL
@ATTRIBUTE F3 REAL
@ATTRIBUTE F4 REAL
@ATTRIBUTE RESULT {0,1}

@DATA
1.11099,-0.19821,2.25,1,1
2.02507,-0.19821,1.5,1,1
0.29763,-0.19821,1.5,1,1
0.29763,-0.19821,1.5,1,1
0.60176,-0.19821,1,1,1
1.17304,-0.19821,1,1,1
1.64764,-0.19821,1.5,1,1
1.73384,-0.19821,1,1,1
0.95367,-0.19821,1,1,1
1.88537,-0.19821,1.5,1,1
0.86124,-0.19821,1.5,1,1
0.82599,-0.19821,1,1,1
1.16096,-0.19821,1,1,1
1.07292,-0.19821,2.25,1,1
0.76701,-0.19821,1,1,1
0.67593,-0.19821,1,1,1
1.4574,-0.19821,1,1,1
0.7202,-0.19821,1.5,1,1
0.1872,-0.19821,1,1,1
1.02981,-0.19821,1.5,1,1
0.67593,-0.19821,1,1,1
0.67593,-0.19821,1.5,1,1
0.89667,-0.19821,2.25,1,1
0.70398,-0.19821,1.5,1,1
1.1142,-0.19821,2.25,1,1
2.02733,-0.19821,2.25,1,1
0.92444,-0.19821,2.25,1,1
0.71692,-0.19821,1,1,1
0.7202,-0.19821,1.5,1,1
2.30044,-0.19821,1.5,1,1
0.76701,-0.19821,1,1,1
0.99931,-0.19821,1.5,1,1
0.4695,-0.19821,2.25,1,1
0.76701,-0.19821,1,1,1
3.46103,-0.19821,2.25,1,1
1.75526,-0.19821,3.375,1,1
1.91461,-0.19821,1,1,1
0.67593,-0.19821,1,1,1
0.84672,-0.19821,1,1,1
0.87748,-0.19821,1.5,1,1
1.04852,-0.19821,2.25,1,1
3.14695,-0.19821,2.25,1,1
0.76701,-0.19821,1,1,1
0.7202,-0.19821,1.5,1,1
0.7202,-0.19821,1.5,1,1
0.7202,-0.19821,1.5,1,1
0.76701,-0.19821,1,1,1
0.67593,-0.19821,1,1,1
0.7202,-0.19821,1.5,1,1
0.61351,-0.19821,1.5,1,1
0.67593,-0.19821,1,1,1
0.7202,-0.19821,1.5,1,1
0.7202,-0.19821,1.5,1,1
0.69204,-0.19821,1,1,1
1.53564,-0.19821,1.5,1,1
1.74049,-0.19821,3.375,1,1
0.89006,-0.19821,1.5,1,1
0.76701,-0.19821,1,1,1
0.67593,-0.19821,1,1,1
0.77588,-0.19821,1.5,1,1
0.7202,-0.19821,1.5,1,1
0.76701,-0.19821,1,1,1
0.7202,-0.19821,1.5,1,1
1.48721,-0.19821,1.5,1,1
0.7202,-0.19821,1.5,1,1
0.66273,-0.19821,2.25,1,1
0.76701,-0.19821,1,1,1
0.7202,-0.19821,1.5,1,1
0.77194,-0.19821,1.5,1,1
0.76701,-0.19821,1,1,1
1.19507,-0.19821,3.375,1,1
1.32389,-0.19821,2.25,1,1
0.7202,-0.19821,1.5,1,1
0.76701,-0.19821,1,1,1
0.76701,-0.19821,1,1,1
0.76701,-0.19821,1,1,1
0.76701,-0.19821,1.5,1,1
0.7619,-0.19821,1.5,1,1
0.7202,-0.19821,1.5,1,1
0.88284,-0.19821,2.25,1,1
1.27084,-0.19821,1,1,1
0.7202,-0.19821,1.5,1,1
0.95452,-0.19821,3.375,1,1
0.7202,-0.19821,1.5,1,1
0.7202,-0.19821,1.5,1,1
0.7202,-0.19821,1.5,1,1
0.76701,-0.19821,1,1,1
0.7202,-0.19821,1.5,1,1
1.29402,-0.19821,2.25,1,1
0.7202,-0.19821,1.5,1,1
0.67593,-0.19821,1,1,1
0.7202,-0.19821,1.5,1,1
1.09915,-0.19821,1,1,1
0.7202,-0.19821,1.5,1,1
1.55972,-0.19821,1.5,1,1
1.01281,-0.19821,1.5,1,1
0.88259,-0.19821,2.25,1,1
0.76701,-0.19821,1,1,1
0.7202,-0.19821,1.5,1,1
1.87387,-0.19821,2.25,1,1
0.7202,-0.19821,1.5,1,1
0.7202,-0.19821,1.5,1,1
2.75712,-0.19821,1.5,1,1
0.7202,-0.19821,1.5,1,1
0.67593,-0.19821,1,1,1
0.76701,-0.19821,1,1,1
0.7202,-0.19821,1.5,1,1
1.32842,-0.19821,1.5,1,1
0.67593,-0.19821,1,1,1
0.67593,-0.19821,1,1,1
0.76701,-0.19821,1,1,1
1.63983,-0.19821,1.5,1,1
0.67593,-0.19821,1,1,1
0.84672,-0.19821,1,1,1
0.77194,-0.19821,1.5,1,1
0.77194,-0.19821,1.5,1,1
0.7202,-0.19821,1.5,1,1
0.9331,-0.19821,1.5,1,1
1.57516,-0.19821,2.25,1,1
0.75564,-0.19821,1,1,1
0.76701,-0.19821,1,1,1
1.56151,-0.19821,3.375,1,1
4.17799,-0.19821,2.25,1,1
0.98435,-0.19821,1.5,1,1
1.36166,-0.19821,1.5,1,1
0.76701,-0.19821,1,1,1
0.7202,-0.19821,1.5,1,1
0.7202,-0.19821,1.5,1,1
0.7202,-0.19821,1.5,1,1
0.7202,-0.19821,1.5,1,1
0.67593,-0.19821,1,1,1
1.39442,-0.19821,1.5,1,1
0.76148,-0.19821,1.5,1,1
1.04906,-0.19821,1,1,1
0.9098,-0.19821,1,1,1
1.24636,-0.19821,1.5,1,1
0.76701,-0.19821,1,1,1
0.94947,-0.19821,2.25,1,1
0.7202,-0.19821,1.5,1,1
0.84228,-0.19821,1.5,1,1
0.7202,-0.19821,1.5,1,1
0.7202,-0.19821,1.5,1,1
0.67593,-0.19821,1,1,1
1.07347,-0.19821,2.25,1,1
1.00546,-0.19821,2.25,1,1
0.7202,-0.19821,1.5,1,1
0.7202,-0.19821,1.5,1,1
0.76701,-0.19821,1,1,1
1.11084,-0.19821,1.5,1,1
0.7202,-0.19821,1.5,1,1
0.7202,-0.19821,2.25,1,1
0.7202,-0.19821,1.5,1,1
0.7202,-0.19821,1.5,1,1
0.76701,-0.19821,1,1,1
1.57278,-0.19821,1.5,1,1
0.84264,-0.19821,1.5,1,1
1.71131,-0.19821,2.25,1,1
1.67829,-0.19821,3.375,1,1
0.7202,-0.19821,1.5,1,1
0.7202,-0.19821,1.5,1,1
0.7202,-0.19821,1.5,1,1
0.86124,-0.19821,1,1,1
0.76701,-0.19821,1,1,1
1.38563,-0.19821,1,1,1
0.84493,-0.19821,1,1,1
1.37962,-0.19821,3.375,1,1
0.67593,-0.19821,1,1,1
1.7849,-0.19821,1.5,1,1
0.7202,-0.19821,1.5,1,1
0.7202,-0.19821,1.5,1,1
0.76701,-0.19821,1.5,1,1
2.91242,-0.19821,1.5,1,1
1.6995,-0.19821,2.25,1,1
0.67593,-0.19821,1,1,1
1.55563,-0.19821,2.25,1,1
0.76701,-0.19821,1.5,1,1
